X,Y,Z,Roll,Pitch,Yaw
3.254,-3.54,0.0,0.0,0.0,0.0
3.268481132075472,-3.54,0.0,0.0,0.0,0.0
3.2829622641509433,-3.54,0.0,0.0,0.0,0.0
3.297443396226415,-3.54,0.0,0.0,0.0,0.0
3.311924528301887,-3.54,0.0,0.0,0.0,0.0
3.3264056603773584,-3.54,0.0,0.0,0.0,0.0
3.3408867924528303,-3.54,0.0,0.0,0.0,0.0
3.355367924528302,-3.54,0.0,0.0,0.0,0.0
3.3698490566037735,-3.54,0.0,0.0,0.0,0.0
3.3843301886792454,-3.54,0.0,0.0,0.0,0.0
3.398811320754717,-3.54,0.0,0.0,0.0,0.0
3.4132924528301887,-3.54,0.0,0.0,0.0,0.0
3.4277735849056605,-3.54,0.0,0.0,0.0,0.0
3.442254716981132,-3.54,0.0,0.0,0.0,0.0
3.456735849056604,-3.54,0.0,0.0,0.0,0.0
3.4712169811320757,-3.54,0.0,0.0,0.0,0.0
3.485698113207547,-3.54,0.0,0.0,0.0,0.0
3.500179245283019,-3.54,0.0,0.0,0.0,0.0
3.5146603773584904,-3.54,0.0,0.0,0.0,0.0
3.529141509433962,-3.54,0.0,0.0,0.0,0.0
3.543622641509434,-3.54,0.0,0.0,0.0,0.0
3.5581037735849055,-3.54,0.0,0.0,0.0,0.0
3.5725849056603773,-3.54,0.0,0.0,0.0,0.0
3.587066037735849,-3.54,0.0,0.0,0.0,0.0
3.6015471698113206,-3.54,0.0,0.0,0.0,0.0
3.6160283018867925,-3.54,0.0,0.0,0.0,0.0
3.6305094339622643,-3.54,0.0,0.0,0.0,0.0
3.6449905660377357,-3.54,0.0,0.0,0.0,0.0
3.6594716981132076,-3.54,0.0,0.0,0.0,0.0
3.6739528301886795,-3.54,0.0,0.0,0.0,0.0
3.688433962264151,-3.54,0.0,0.0,0.0,0.0
3.7029150943396227,-3.54,0.0,0.0,0.0,0.0
3.7173962264150946,-3.54,0.0,0.0,0.0,0.0
3.731877358490566,-3.54,0.0,0.0,0.0,0.0
3.746358490566038,-3.54,0.0,0.0,0.0,0.0
3.7608396226415097,-3.54,0.0,0.0,0.0,0.0
3.775320754716981,-3.54,0.0,0.0,0.0,0.0
3.789801886792453,-3.54,0.0,0.0,0.0,0.0
3.8042830188679244,-3.54,0.0,0.0,0.0,0.0
3.8187641509433963,-3.54,0.0,0.0,0.0,0.0
3.833245283018868,-3.54,0.0,0.0,0.0,0.0
3.84772641509434,-3.54,0.0,0.0,0.0,0.0
3.8622075471698114,-3.54,0.0,0.0,0.0,0.0
3.8766886792452833,-3.54,0.0,0.0,0.0,0.0
3.8911698113207547,-3.54,0.0,0.0,0.0,0.0
3.9056509433962265,-3.54,0.0,0.0,0.0,0.0
3.920132075471698,-3.54,0.0,0.0,0.0,0.0
3.93461320754717,-3.54,0.0,0.0,0.0,0.0
3.9490943396226417,-3.54,0.0,0.0,0.0,0.0
3.963575471698113,-3.54,0.0,0.0,0.0,0.0
3.978056603773585,-3.54,0.0,0.0,0.0,0.0
3.992537735849057,-3.54,0.0,0.0,0.0,0.0
4.007018867924528,-3.54,0.0,0.0,0.0,0.0
4.0215,-3.54,0.0,0.0,0.0,0.0
4.035981132075472,-3.54,0.0,0.0,0.0,0.0
4.050462264150943,-3.54,0.0,0.0,0.0,0.0
4.064943396226415,-3.54,0.0,0.0,0.0,0.0
4.079424528301887,-3.54,0.0,0.0,0.0,0.0
4.0939056603773585,-3.54,0.0,0.0,0.0,0.0
4.10838679245283,-3.54,0.0,0.0,0.0,0.0
4.122867924528302,-3.54,0.0,0.0,0.0,0.0
4.137349056603774,-3.54,0.0,0.0,0.0,0.0
4.151830188679245,-3.54,0.0,0.0,0.0,0.0
4.166311320754717,-3.54,0.0,0.0,0.0,0.0
4.180792452830189,-3.54,0.0,0.0,0.0,0.0
4.19527358490566,-3.54,0.0,0.0,0.0,0.0
4.2097547169811325,-3.54,0.0,0.0,0.0,0.0
4.224235849056604,-3.54,0.0,0.0,0.0,0.0
4.238716981132075,-3.54,0.0,0.0,0.0,0.0
4.253198113207548,-3.54,0.0,0.0,0.0,0.0
4.267679245283019,-3.54,0.0,0.0,0.0,0.0
4.28216037735849,-3.54,0.0,0.0,0.0,0.0
4.296641509433963,-3.54,0.0,0.0,0.0,0.0
4.311122641509434,-3.54,0.0,0.0,0.0,0.0
4.3256037735849056,-3.54,0.0,0.0,0.0,0.0
4.340084905660378,-3.54,0.0,0.0,0.0,0.0
4.354566037735849,-3.54,0.0,0.0,0.0,0.0
4.369047169811321,-3.54,0.0,0.0,0.0,0.0
4.383528301886793,-3.54,0.0,0.0,0.0,0.0
4.398009433962264,-3.54,0.0,0.0,0.0,0.0
4.412490566037736,-3.54,0.0,0.0,0.0,0.0
4.426971698113208,-3.54,0.0,0.0,0.0,0.0
4.4414528301886795,-3.54,0.0,0.0,0.0,0.0
4.455933962264151,-3.54,0.0,0.0,0.0,0.0
4.470415094339623,-3.54,0.0,0.0,0.0,0.0
4.484896226415095,-3.54,0.0,0.0,0.0,0.0
4.499377358490566,-3.54,0.0,0.0,0.0,0.0
4.513858490566038,-3.54,0.0,0.0,0.0,0.0
4.52833962264151,-3.54,0.0,0.0,0.0,0.0
4.542820754716981,-3.54,0.0,0.0,0.0,0.0
4.5573018867924535,-3.54,0.0,0.0,0.0,0.0
4.571783018867925,-3.54,0.0,0.0,0.0,0.0
4.586264150943396,-3.54,0.0,0.0,0.0,0.0
4.600745283018869,-3.54,0.0,0.0,0.0,0.0
4.61522641509434,-3.54,0.0,0.0,0.0,0.0
4.6297075471698115,-3.54,0.0,0.0,0.0,0.0
4.644188679245283,-3.54,0.0,0.0,0.0,0.0
4.658669811320755,-3.54,0.0,0.0,0.0,0.0
4.673150943396227,-3.54,0.0,0.0,0.0,0.0
4.687632075471698,-3.54,0.0,0.0,0.0,0.0
4.702113207547169,-3.54,0.0,0.0,0.0,0.0
4.716594339622642,-3.54,0.0,0.0,0.0,0.0
4.731075471698113,-3.54,0.0,0.0,0.0,0.0
4.745556603773585,-3.54,0.0,0.0,0.0,0.0
4.760037735849057,-3.54,0.0,0.0,0.0,0.0
